Global Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Year,Value
195712,0.6498
195801,0.7419
195802,0.3708
195803,0.0871
195804,0.1281
195805,0.1620
195806,-0.0965
195807,0.0141
195808,-0.0570
195809,-0.1927
195810,-0.0667
195811,0.1901
195812,0.2598
195901,0.2081
195902,0.0359
195903,0.5446
195904,0.2285
195905,-0.0834
195906,0.2076
195907,0.0963
195908,0.0203
195909,0.1081
195910,-0.2059
195911,-0.3321
195912,-0.0931
196001,-0.0019
196002,0.6474
196003,-0.7705
196004,-0.2557
196005,-0.4409
196006,0.1326
196007,-0.1119
196008,-0.0213
196009,0.0358
196010,-0.0098
196011,-0.2671
196012,0.6115
196101,0.2927
196102,0.3856
196103,0.3936
196104,0.1619
196105,0.2222
196106,0.2180
196107,0.0112
196108,0.0127
196109,-0.0167
196110,-0.2340
196111,0.0175
196112,-0.1622
196201,0.3879
196202,0.5026
196203,0.2821
196204,0.1760
196205,0.0316
196206,-0.0948
196207,-0.0010
196208,-0.0252
196209,-0.0013
196210,0.1435
196211,0.2119
196212,0.3256
196301,0.1683
196302,0.9057
196303,-0.0360
196304,-0.1967
196305,-0.1557
196306,-0.0641
196307,0.1983
196308,0.2083
196309,0.3126
196310,0.5743
196311,0.4260
196312,0.0868
196401,0.1386
196402,-0.3365
196403,-0.3278
196404,-0.3738
196405,-0.0969
196406,-0.1363
196407,-0.1578
196408,-0.2153
196409,-0.3284
196410,-0.5257
196411,-0.1652
196412,-0.3686
196501,0.1255
196502,-0.4143
196503,-0.0928
196504,-0.3878
196505,-0.0544
196506,-0.0531
196507,-0.1504
196508,-0.1665
196509,-0.1977
196510,0.1222
196511,-0.3024
196512,-0.0179
196601,-0.1465
196602,-0.1093
196603,0.0743
196604,-0.3111
196605,-0.0245
196606,0.1731
196607,0.1572
196608,0.0629
196609,0.0915
196610,-0.1614
196611,-0.1898
196612,-0.4881
196701,-0.2361
196702,-0.4048
196703,0.0851
196704,0.1425
196705,0.3224
196706,-0.1831
196707,-0.1229
196708,-0.1464
196709,-0.1309
196710,0.5043
196711,0.0761
196712,0.0951
196801,-0.3449
196802,-0.0688
196803,0.8959
196804,-0.0361
196805,-0.2156
196806,-0.2013
196807,-0.1674
196808,-0.1823
196809,-0.2289
196810,-0.1237
196811,-0.1923
196812,-0.4978
196901,-1.0938
196902,-0.9517
196903,-0.0975
196904,0.0905
196905,0.0053
196906,-0.0491
196907,0.0892
196908,-0.0117
196909,-0.0823
196910,-0.0290
196911,0.4036
196912,0.4851
197001,0.0239
197002,0.5476
197003,-0.1708
197004,0.1987
197005,-0.0004
197006,0.1276
197007,0.0578
197008,-0.0554
197009,-0.0209
197010,-0.2262
197011,-0.0153
197012,-0.2333
197101,0.0949
197102,-0.4055
197103,-0.1655
197104,-0.1851
197105,-0.0910
197106,-0.1745
197107,-0.0993
197108,-0.0903
197109,0.0861
197110,-0.0132
197111,0.4011
197112,0.2201
197201,-0.8875
197202,-0.7474
197203,-0.0137
197204,0.0032
197205,-0.0689
197206,0.0680
197207,-0.0830
197208,0.0370
197209,-0.2159
197210,-0.0595
197211,-0.2275
197212,0.1705
197301,0.2686
197302,0.7444
197303,0.7095
197304,0.4550
197305,0.3389
197306,0.4328
197307,0.1793
197308,0.0982
197309,0.0221
197310,0.0851
197311,-0.0060
197312,0.2754
197401,-0.6279
197402,-0.7093
197403,0.0590
197404,0.0782
197405,-0.0615
197406,-0.0979
197407,0.0403
197408,-0.1132
197409,-0.1941
197410,-0.3210
197411,-0.2147
197412,-0.3359
197501,0.3681
197502,0.0587
197503,0.3881
197504,0.2933
197505,0.2463
197506,0.1937
197507,0.0821
197508,-0.1118
197509,0.1894
197510,-0.1375
197511,-0.1274
197512,0.0978
197601,0.2573
197602,-0.2077
197603,-0.6716
197604,0.0949
197605,-0.1786
197606,-0.2465
197607,-0.2439
197608,-0.2543
197609,-0.0694
197610,-0.8228
197611,-0.4436
197612,-0.1806
197701,-0.5414
197702,0.2507
197703,0.5763
197704,0.5581
197705,0.3875
197706,0.3931
197707,0.1597
197708,0.0200
197709,0.1404
197710,-0.0723
197711,0.5524
197712,0.0344
197801,0.1178
197802,0.1123
197803,0.4604
197804,0.2763
197805,0.0124
197806,-0.0959
197807,-0.0793
197808,-0.2534
197809,-0.0093
197810,0.0380
197811,0.3787
197812,0.0282
197901,-0.0688
197902,-0.1665
197903,0.2790
197904,-0.2146
197905,0.0633
197906,0.1167
197907,0.0463
197908,0.1301
197909,0.1563
197910,0.3109
197911,0.2315
197912,0.9315
198001,0.1682
198002,0.3835
198003,-0.0186
198004,0.4260
198005,0.4182
198006,0.2351
198007,0.1902
198008,0.1714
198009,0.1697
198010,0.2074
198011,0.6432
198012,0.3397
198101,1.1057
198102,0.8239
198103,0.8808
198104,0.7107
198105,0.3090
198106,0.2750
198107,0.1934
198108,0.3566
198109,0.1685
198110,0.0654
198111,0.2530
198112,0.8440
198201,-0.1399
198202,0.1242
198203,-0.1604
198204,0.2870
198205,0.1175
198206,-0.0502
198207,0.1737
198208,0.0982
198209,0.2159
198210,-0.0588
198211,-0.1862
198212,0.7279
198301,0.8692
198302,0.8288
198303,0.6491
198304,0.2618
198305,0.2753
198306,0.1573
198307,0.3253
198308,0.4970
198309,0.4821
198310,0.2359
198311,1.0139
198312,0.3576
198401,0.3768
198402,-0.0416
198403,0.3900
198404,0.0779
198405,0.5785
198406,0.1132
198407,0.0551
198408,0.1534
198409,-0.1095
198410,0.0640
198411,-0.2336
198412,-0.7250
198501,0.2408
198502,-0.4150
198503,0.2668
198504,0.2642
198505,0.2836
198506,0.1060
198507,-0.1210
198508,0.1618
198509,-0.0778
198510,0.0456
198511,-0.0214
198512,0.1923
198601,0.7626
198602,0.4873
198603,0.6067
198604,0.4764
198605,0.3856
198606,0.3274
198607,0.0660
198608,0.1098
198609,0.0176
198610,0.0461
198611,-0.0271
198612,0.1548
198701,0.4448
198702,1.1166
198703,0.0650
198704,0.2690
198705,0.3741
198706,0.2753
198707,0.5478
198708,0.3281
198709,0.4346
198710,0.1423
198711,0.0460
198712,0.9067
198801,0.8090
198802,0.2724
198803,0.6971
198804,0.6465
198805,0.5150
198806,0.6387
198807,0.4943
198808,0.4383
198809,0.4671
198810,0.4383
198811,0.3902
198812,0.8629
198901,0.2887
198902,0.5446
198903,0.6750
198904,0.3876
198905,0.3789
198906,0.2865
198907,0.2962
198908,0.2764
198909,0.2766
198910,0.3961
198911,0.1739
198912,0.7515
199001,0.5475
199002,0.5670
199003,1.6597
199004,0.7696
199005,0.5241
199006,0.5367
199007,0.2024
199008,0.3073
199009,0.2357
199010,0.5206
199011,0.7185
199012,0.6398
199101,0.7042
199102,0.8026
199103,0.3966
199104,0.8097
199105,0.4876
199106,0.6459
199107,0.4956
199108,0.3994
199109,0.5363
199110,0.4546
199111,0.4090
199112,0.3535
199201,0.9768
199202,0.8375
199203,0.7460
199204,0.2074
199205,0.3086
199206,0.1778
199207,-0.1400
199208,-0.0334
199209,-0.2641
199210,-0.0267
199211,-0.0870
199212,0.5152
199301,0.7153
199302,0.7359
199303,0.8540
199304,0.4042
199305,0.4044
199306,0.2818
199307,0.1993
199308,0.1782
199309,-0.0142
199310,0.2592
199311,-0.2685
199312,0.5580
199401,0.4387
199402,-0.3213
199403,0.6611
199404,0.6041
199405,0.5915
199406,0.6051
199407,0.3319
199408,0.2866
199409,0.4145
199410,0.6471
199411,0.7203
199412,0.4985
199501,1.0704
199502,1.5559
199503,0.7802
199504,0.6011
199505,0.4329
199506,0.7366
199507,0.5353
199508,0.8239
199509,0.6223
199510,0.7803
199511,0.8051
199512,0.5445
199601,0.2320
199602,0.8069
199603,0.2865
199604,0.1158
199605,0.5703
199606,0.3865
199607,0.3931
199608,0.2818
199609,0.1641
199610,0.1357
199611,0.2505
199612,0.6226
199701,0.6588
199702,0.7717
199703,0.7764
199704,0.7323
199705,0.4315
199706,0.6501
199707,0.5568
199708,0.6020
199709,0.7868
199710,0.8466
199711,0.6453
199712,0.7459
199801,0.7276
199802,1.6948
199803,0.8940
199804,1.1992
199805,0.9102
199806,0.8682
199807,1.1123
199808,1.0311
199809,0.7695
199810,0.7347
199811,0.3493
199812,1.1335
199901,1.0056
199902,1.6616
199903,0.3654
199904,0.7672
199905,0.6502
199906,0.6324
199907,0.6423
199908,0.5212
199909,0.6623
199910,0.6554
199911,0.6348
199912,1.3500
200001,0.5079
200002,1.0904
200003,1.1358
200004,1.3559
200005,0.7946
200006,0.6167
200007,0.5066
200008,0.6759
200009,0.5331
200010,0.1814
200011,0.0232
200012,0.2404
200101,0.7891
200102,0.4914
200103,1.1849
200104,0.9320
200105,0.9949
200106,0.7072
200107,0.7474
200108,0.9320
200109,0.6037
200110,0.5605
200111,1.3047
200112,0.6854
200201,1.4471
200202,1.6966
200203,1.5174
200204,0.7657
200205,0.7279
200206,0.8021
200207,0.9947
200208,0.7430
200209,0.8027
200210,0.4915
200211,0.9788
200212,0.3453
200301,1.3053
200302,0.8647
200303,0.7903
200304,0.8087
200305,0.9136
200306,0.6841
200307,0.5663
200308,0.7807
200309,0.8059
200310,1.1190
200311,0.7289
200312,1.4105
200401,0.9066
200402,1.3267
200403,1.2928
200404,0.8845
200405,0.4780
200406,0.5517
200407,0.4493
200408,0.4858
200409,0.5853
200410,0.8444
200411,1.4183
200412,0.5964
200501,1.0203
200502,0.6478
200503,1.2589
200504,1.3496
200505,0.9953
200506,1.0130
200507,0.9125
200508,0.7587
200509,1.0677
200510,1.1615
200511,1.3837
200512,1.0954
200601,0.5513
200602,1.1267
200603,1.0703
200604,0.6983
200605,0.7087
200606,0.9947
200607,0.8792
200608,0.8362
200609,0.8216
200610,1.0409
200611,0.8656
200612,1.4157
200701,1.8662
200702,1.1334
200703,1.2746
200704,1.5116
200705,1.0781
200706,0.7318
200707,0.7341
200708,0.8552
200709,0.9579
200710,1.0024
200711,1.0559
200712,1.0012
200801,0.2032
200802,0.5798
200803,1.9133
200804,0.8064
200805,0.7619
200806,0.7780
200807,0.8028
200808,0.6950
200809,0.5915
200810,1.1264
200811,1.2933
200812,0.8810
200901,1.0451
200902,1.0096
200903,0.9846
200904,1.1444
200905,0.7508
200906,0.7814
200907,0.6362
200908,0.8857
200909,1.0842
200910,0.8449
200911,0.8703
200912,0.5488
201001,0.9232
201002,0.9890
201003,1.4654
201004,1.3639
201005,1.1648
201006,1.1153
201007,1.1089
201008,0.9244
201009,0.7222
201010,1.0527
201011,1.6291
201012,0.6211
201101,0.5723
201102,0.6564
201103,0.9801
201104,1.2323
201105,0.8439
201106,0.9816
201107,0.9644
201108,0.9263
201109,0.9557
201110,1.1674
201111,0.6471
201112,0.9874
201201,0.5456
201202,0.4504
201203,0.8284
201204,1.4947
201205,1.2958
201206,1.2031
201207,0.9925
201208,0.8497
201209,1.0049
201210,0.9879
201211,1.1248
201212,0.2778
201301,0.9104
201302,1.1262
201303,1.0347
201304,0.7340
201305,1.1724
201306,1.0514
201307,0.7888
201308,0.7211
201309,0.9049
201310,0.9241
201311,1.4676
201312,1.1417
201401,1.1631
201402,0.3453
201403,1.3635
201404,1.3360
201405,1.1768
201406,0.9749
201407,0.7434
